MBC [IDX];Last Successful Poll;IP;Registration Status Group;CM Score;CM DS Avg Pwr;CM US Avg Pwr;CM DS Avg MER;CM US Avg MER;CM Uncorr Codewords;CM Corr Codewords;Flap Ins;Flap Power Adjustment;Flap Total Num;Flap Miss/Hit Ratio;CM Jitter;CM Latency;Packet Loss Rate;CM UpTime;Status Resets;CM DS Ch Set;CM US Ch Set;Memory Utilization;Processor Utilization;Device Name
B4:08:F5:F9:4E:B7;08-04-2020 08:36;11.136.62.37;W-Online;100;9.05;39.5;47.18;45.1;0;0;0;0;0;0;0;6;0;2585426;0;24 bonding;OFDM;34;4;CM1
F8:08:4F:73:09:69;08-04-2020 08:36;11.130.0.203;W-Online;100;9.45;40.3;47.18;41.1;0;0;0;0;98;0;10;9;0;4462181;0;24 bonding;OFDM;34;14;CM1
F8:08:4F:72:B5:2B;08-04-2020 08:36;11.130.0.14;W-Online;100;3.84;39.5;45.42;33.6;0;0;0;22;296;0;1;6;0;3063412;0;32 bonding;OFDM;36;3;CM1
B4:2B:8C:83:5E:78;08-04-2020 08:36;11.130.0.208;W-Online;100;6.24;44.2;47.31;42.1;0;0;1;19;1;0;0;6;0;132709;0;24ch;QAM;64;4;CM1
B4:2B:8C:83:5E:F0;08-04-2020 08:36;11.130.8.40;W-Online;100;7.21;39.4;46.46;42.1;0;0;1;23;167;0;1;6;0;639070;0;24ch;QAM;64;7;CM1
F8:08:4F:73:08:5F;08-04-2020 08:36;11.116.115.203;W-Online;100;-1.97;44.5;44.15;38.8;0;0;3;29;7;0;1;7;0;2651661;0;32 bonding;OFDM;36;9;CM1
B4:2B:8C:83:62:2C;08-04-2020 08:36;11.130.8.171;W-Online;100;9.86;41.1;46.67;45.1;0;0;2;159;11;0;0;6;0;11506223;3;24ch;QAM;65;3;CM1
B4:2B:8C:83:63:3B;08-04-2020 08:36;11.130.8.72;W-Online;100;4.58;45.7;45.71;45.1;0;0;3;446;56;0;1;6;0;8798897;0;24ch;QAM;64;4;CM1
F8:08:4F:73:07:CC;08-04-2020 08:36;11.130.2.113;W-Online;100;-1.34;37.7;44.69;42.7;0;0;0;15;3209;0.151515;1;7;0;332993;0;Mix Bonding;OFDM;37;10;CM1
F8:08:4F:FE:19:BD;08-04-2020 08:36;11.130.0.62;W-Online;100;0.19;43.8;46.24;43.3;0.01;0.01;2;9;0;0;2;8;0;3325954;0;24 bonding;OFDM;34;6;CM1
B4:2B:8C:83:67:3C;08-04-2020 08:36;11.130.1.171;P-Online;100;2.99;49.9;47.44;42.7;0.01;0.01;1;407;3;0;1;8;0;979311;0;24ch;QAM;64;10;CM1
F8:BB:05:60:30:D8;08-04-2020 08:36;11.116.115.170;W-Online;100;2.22;45;46.42;38.3;0;0.01;0;3;3;0;1;6;0;928820;0;24 bonding;OFDM;32;4;CM1
B4:2B:8C:83:80:9E;08-04-2020 08:36;11.130.1.84;W-Online;100;6.99;38.7;45.92;40.7;0.01;0;2;40;885;0;0;6;0;11334917;0;24ch;QAM;64;6;CM1
F8:08:4F:73:1E:2B;08-04-2020 08:36;11.130.0.197;W-Online;100;-0.29;42.8;43.4;40.7;0;0.05;0;9;4651;0;4;7;0;310331;0;32 bonding;OFDM;35;9;CM1
F8:08:4F:73:12:22;08-04-2020 08:36;11.130.8.20;W-Online;100;6.33;37.3;45.36;33.7;0;0;0;9;42;0;12;10;0;2486861;0;32 bonding;OFDM;36;5;CM1
F8:08:4F:FE:09:99;08-04-2020 08:36;11.130.2.31;W-Online;100;2.41;43;45.76;42.7;0.01;0.01;1;0;86;0;10;9;0;3002237;0;32 bonding;OFDM;36;9;CM1
B4:2B:8C:83:C7:7E;08-04-2020 08:36;11.130.6.114;W-Online;100;7.59;32.7;46.17;34.3;0;0;3;238;389;0;2;7;0;10706704;0;24ch;QAM;65;16;CM1
